Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Jannik Vestergaard,dk DEN,DF,Southampton,28-165,1992,12.5,1.52,1.12,0.88,0.48,0.16,0.72,1.60,45.0,0.88,6.56,3.04,46.3,4.16,2.16,0.24,1.28,0.80,0.00,0.48,1.12,2.64,5.36,0.00,/en/players/1900032e/Jannik-Vestergaard
Rúben Vinagre,pt POR,DF,Wolves,21-281,1999,1.9,2.63,1.58,1.58,1.05,0.00,1.05,2.63,40.0,1.58,13.7,2.63,19.2,6.84,4.74,2.11,2.11,0.00,0.00,2.11,0.53,3.16,3.16,0.00,/en/players/b937e490/Ruben-Vinagre
Carlos Vinícius,br BRA,"FW,MF",Tottenham,25-296,1995,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,13.3,44.4,0.00,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/8b529245/Carlos-Vinicius
Vitinha,pt POR,MF,Wolves,20-337,2000,2.0,2.00,1.00,0.00,1.50,0.50,0.00,1.00,0.0,1.00,20.5,5.50,26.8,6.50,11.0,3.00,0.00,0.00,0.00,0.00,0.00,2.00,0.50,0.00,/en/players/3b029691/Vitinha
Matěj Vydra,cz CZE,FW,Burnley,28-259,1992,2.1,0.48,0.48,0.48,0.00,0.00,0.00,0.95,0.0,0.95,21.0,4.76,22.7,1.43,10.5,9.05,2.86,0.48,0.00,2.38,0.00,0.48,0.00,0.00,/en/players/0d4ceb32/Matej-Vydra
Theo Walcott,eng ENG,FW,Everton,31-305,1989,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,50.0,10.0,20.0,30.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/1ecb65be/Theo-Walcott
Theo Walcott,eng ENG,"MF,FW",Southampton,31-305,1989,11.2,1.88,1.25,0.80,0.80,0.27,0.80,2.77,29.0,1.96,18.4,5.45,29.6,5.18,7.59,5.63,1.34,0.09,0.00,1.25,0.54,2.41,0.27,0.00,/en/players/1ecb65be/Theo-Walcott
Kyle Walker,eng ENG,DF,Manchester City,30-232,1990,11.0,1.82,1.45,0.91,0.73,0.18,0.82,1.64,50.0,0.82,10.5,3.64,34.8,4.27,4.27,1.91,1.64,0.27,0.00,1.36,0.82,2.64,1.91,0.00,/en/players/86dd77d1/Kyle-Walker
Kyle Walker-Peters,eng ENG,DF,Southampton,23-277,1997,17.0,3.06,1.76,1.94,1.00,0.12,0.82,1.82,45.2,1.00,13.5,4.71,34.8,6.82,5.29,1.41,2.59,0.71,0.00,1.88,1.29,4.35,2.12,0.12,/en/players/984a5a64/Kyle-Walker-Peters
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23-050,1997,15.0,3.67,1.87,2.20,1.27,0.20,0.87,1.47,59.1,0.60,13.3,4.13,31.0,6.13,5.33,1.87,3.73,0.47,0.00,3.27,1.33,5.00,2.93,0.00,/en/players/9e525177/Aaron-Wan-Bissaka
Joel Ward,eng ENG,DF,Crystal Palace,31-078,1989,9.0,1.78,1.22,1.22,0.56,0.00,0.89,1.22,72.7,0.33,12.9,3.89,30.2,6.11,4.11,2.67,2.78,0.78,0.00,2.00,1.44,3.22,4.44,0.00,/en/players/8a7ff278/Joel-Ward
James Ward-Prowse,eng ENG,MF,Southampton,26-075,1994,17.0,2.18,1.65,1.00,1.00,0.18,0.65,1.94,33.3,1.29,13.9,4.65,33.5,4.12,7.76,2.00,1.88,0.12,0.00,1.76,1.00,3.18,1.94,0.00,/en/players/3515d404/James-Ward-Prowse
